	X222	X223	X224	X225	X226	X228	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X250
bOTU_345	4793.775447	1059.637305	600.7646215	812.134247	1251.184057	1089.372276	1276.528557	1731.857666	882.262191	1003.271228	444.7691677	0	196.7181804	98.15272014	137.203672	190.3408376	555.405938	97.15336437	0	0	781.7423262	0	0	0	150.3687266	456.7503476	0
bOTU_199	0	706.4248702	1029.882208	1380.62822	1112.163606	121.041364	127.6528557	123.704119	490.1456617	167.2118714	0	999.2121949	3344.209067	1864.901683	960.4257042	1332.385863	925.6765634	5440.588405	4172.567414	4591.487685	2442.944769	4513.01852	531.6183641	86.70428897	1503.687266	1370.251043	380.6056315
bOTU_119	7728.740006	0	171.6470347	0	0	0	1404.181413	1113.337071	1862.553514	334.4237428	444.7691677	428.2337978	295.0772706	294.4581604	411.6110161	1142.045026	1110.811876	0	388.145806	95.65599344	684.0245354	173.5776354	106.3236728	0	75.18436328	304.5002317	456.7267578
bOTU_364	195.664304	971.3341965	0	568.4939729	139.0204508	0	0	371.1123569	784.2330586	334.4237428	444.7691677	570.9783971	196.7181804	0	274.4073441	285.5112565	185.1353127	97.15336437	194.072903	0	195.4355816	0	106.3236728	86.70428897	0	152.2501159	0
bOTU_866	97.83215198	353.2124351	3690.411246	4872.805482	0	0	0	0	98.02913233	167.2118714	0	285.4891985	196.7181804	98.15272014	137.203672	285.5112565	185.1353127	582.9201862	1164.437418	382.6239738	0	433.9440885	531.6183641	86.70428897	150.3687266	304.5002317	228.3633789
bOTU_53	97.83215198	176.6062175	2917.99959	162.4268494	695.1022539	2057.703188	2170.098548	371.1123569	1176.349588	1170.4831	2075.589449	2712.147386	2655.695435	2159.359843	5213.739537	5424.713873	5183.788755	2137.374016	3008.129996	2295.743843	3517.840468	5207.329061	106.3236728	86.70428897	902.2123594	609.0004634	304.4845052
bOTU_7	97.83215198	1236.243523	858.2351736	1136.987946	973.1431554	484.1654561	255.3057115	494.8164759	882.262191	334.4237428	889.5383354	1998.42439	10426.06356	14526.60258	2058.055081	24553.96806	21105.42565	23316.80745	13002.8845	22000.87849	8892.318961	22391.51496	3615.004876	2774.537247	4736.614887	7917.006024	1903.028158
bOTU_69	2152.307343	618.1217614	600.7646215	162.4268494	834.1227046	363.124092	510.611423	1484.449428	588.174794	1504.906843	444.7691677	1427.445993	1967.181804	1472.290802	1783.647736	3235.79424	2406.759065	1457.300466	1358.510321	2391.399836	2540.66256	2603.664531	212.6473456	433.5214448	451.1061797	1522.501159	1826.907031
bOTU_1438	0	0	0	81.2134247	278.0409015	363.124092	127.6528557	247.408238	294.087397	0	296.5127785	0	393.4363608	98.15272014	548.8146881	475.8520941	92.56765634	291.4600931	97.03645149	286.9679803	195.4355816	607.5217238	637.9420369	0	150.3687266	761.2505793	0
bOTU_189	195.664304	88.30310877	0	0	695.1022539	0	255.3057115	494.8164759	784.2330586	0	741.2819461	1427.445993	5409.749961	2551.970724	0	3521.305496	3147.300315	1845.913923	1940.72903	1147.871921	1465.766862	4773.384973	2977.062839	0	1052.581086	3958.503012	1674.664779
bOTU_180	0	7064.248702	343.2940694	974.5610964	3336.490818	1573.537732	4723.155663	7174.838901	3725.107029	2173.754328	4151.178898	1284.701393	393.4363608	588.9163208	411.6110161	666.1929317	555.405938	0	291.1093545	191.3119869	488.5889539	0	212.6473456	0	75.18436328	304.5002317	76.1211263
bOTU_109	1956.64304	88.30310877	2660.529038	0	695.1022539	0	1404.181413	618.5205949	294.087397	167.2118714	296.5127785	428.2337978	393.4363608	196.3054403	1234.833048	761.3633506	647.9735944	97.15336437	194.072903	95.65599344	1563.484652	260.3664531	106.3236728	0	0	913.5006951	76.1211263
bOTU_361	0	0	514.9411041	0	0	0	255.3057115	247.408238	294.087397	501.6356142	0	142.7445993	3147.490886	65762.32249	1372.03672	951.7041882	1203.379532	7577.962421	873.3280634	3539.271757	1465.766862	5120.540244	0	0	751.8436328	456.7503476	2511.997168
bOTU_52	293.4964559	4856.670982	1029.882208	3898.244385	3475.511269	5204.778653	2425.404259	2721.490618	4999.485749	3177.025556	4595.948066	2997.636585	295.0772706	196.3054403	274.4073441	1046.874607	1851.353127	194.3067287	1843.692578	382.6239738	195.4355816	520.7329061	0	0	0	761.2505793	0
bOTU_85	0	2384.183937	1115.705726	243.6402741	6255.920285	4962.695925	37657.59244	6927.430663	14312.25332	7022.898599	2520.358617	713.7229963	885.2318118	392.6108806	2332.462425	2284.090052	2777.02969	388.6134575	582.218709	669.5919541	390.8711631	433.9440885	1701.178765	1473.972912	1202.949812	5024.253823	913.4535157
bOTU_147	3521.957471	706.4248702	257.4705521	649.7073976	139.0204508	242.082728	255.3057115	123.704119	784.2330586	334.4237428	741.2819461	428.2337978	98.3590902	883.3744812	0	380.6816753	185.1353127	0	194.072903	0	879.460117	433.9440885	0	0	0	0	0
bOTU_3921	0	6181.217614	429.1175868	324.8536988	139.0204508	0	127.6528557	123.704119	1176.349588	0	0	0	2557.336345	588.9163208	13583.16353	571.0225129	1388.514845	0	97.03645149	95.65599344	1368.049071	173.5776354	106.3236728	0	0	304.5002317	228.3633789
bOTU_12	97.83215198	176.6062175	514.9411041	406.0671235	0	0	638.2642787	0	0	0	0	0	1967.181804	3337.192485	3155.684457	3235.79424	1203.379532	1845.913923	3105.166448	2008.775862	2247.509188	1648.987536	637.9420369	2601.128669	3984.771254	456.7503476	9667.383041
bOTU_121	3424.125319	353.2124351	85.82351736	243.6402741	0	0	893.5699902	865.9288328	294.087397	0	148.2563892	0	393.4363608	196.3054403	274.4073441	856.5337694	277.702969	97.15336437	194.072903	95.65599344	2638.380351	347.1552708	0	0	0	0	76.1211263
bOTU_355	0	176.6062175	514.9411041	81.2134247	1390.204508	3873.323648	1531.834269	4824.46064	2744.815705	1672.118714	2520.358617	428.2337978	295.0772706	98.15272014	274.4073441	285.5112565	647.9735944	0	97.03645149	0	0	86.78881769	0	0	0	3654.00278	0
bOTU_1404	0	88.30310877	0	0	139.0204508	242.082728	127.6528557	618.5205949	686.2039263	0	148.2563892	0	2852.413616	8441.133932	823.2220322	1617.89712	833.108907	1748.760559	2717.020642	956.5599344	781.7423262	1735.776354	106.3236728	0	0	304.5002317	0
bOTU_21	0	88.30310877	0	0	973.1431554	242.082728	638.2642787	247.408238	294.087397	1337.694971	741.2819461	856.4675956	2458.977255	981.5272014	0	2950.282983	833.108907	388.6134575	679.2551605	382.6239738	2833.815933	1562.198718	0	0	75.18436328	1218.000927	456.7267578
bOTU_242	97.83215198	441.5155439	3690.411246	243.6402741	3753.552171	10409.55731	3701.932817	7793.359496	3529.048764	3009.813685	3261.640563	142.7445993	2262.259075	883.3744812	823.2220322	1046.874607	2129.056096	97.15336437	291.1093545	0	293.1533723	433.9440885	106.3236728	0	0	1065.750811	0
bOTU_45	0	1059.637305	171.6470347	324.8536988	8897.308849	20819.11461	9318.658469	14844.49428	14116.19506	16888.39901	8895.383354	4139.593379	2754.054526	1177.832642	1920.851408	2759.942146	2129.056096	2137.374016	4172.567414	1434.839902	879.460117	5554.484332	1594.855092	1387.268623	2706.637078	1827.00139	1674.664779
bOTU_3118	97.83215198	706.4248702	0	0	139.0204508	121.041364	127.6528557	618.5205949	196.0582647	0	296.5127785	428.2337978	295.0772706	687.069041	548.8146881	190.3408376	555.405938	194.3067287	388.145806	286.9679803	195.4355816	954.6769946	637.9420369	953.7471786	526.290543	152.2501159	1826.907031
bOTU_43	1076.153672	2560.790154	429.1175868	893.3476717	556.0818031	726.2481841	510.611423	865.9288328	392.1165293	836.059357	444.7691677	1427.445993	3344.209067	2551.970724	1646.444064	2093.749214	3147.300315	2331.680745	2231.838384	4495.831692	1074.895699	2169.720442	1169.560401	86.70428897	977.3967227	1218.000927	304.4845052
bOTU_681	0	176.6062175	85.82351736	0	139.0204508	121.041364	0	0	0	167.2118714	0	0	3442.568157	11385.71554	1372.03672	2093.749214	1110.811876	11949.86382	4463.676769	7365.511495	977.1779078	3384.76389	4784.565277	1820.790068	4285.508707	3501.752665	1903.028158
bOTU_56	0	1501.152849	171.6470347	406.0671235	834.1227046	242.082728	638.2642787	1731.857666	1274.37872	836.059357	1037.794725	1570.190592	1573.745443	490.7636007	6448.572586	1617.89712	2591.894377	874.3802794	776.291612	1147.871921	1856.638025	1475.409901	425.2946913	86.70428897	225.5530898	1370.251043	152.2422526
bOTU_206	0	883.0310877	0	162.4268494	695.1022539	605.2068201	255.3057115	371.1123569	686.2039263	167.2118714	148.2563892	1855.67979	688.5136314	1079.679922	411.6110161	571.0225129	1481.082501	0	388.145806	0	293.1533723	173.5776354	0	86.70428897	0	913.5006951	76.1211263
